horizon,cost_scenario,PnL (bps),Ret/Trade (bps),Sharpe,Hit %,MaxDD %,Trades
1s,gross,7027.81,0.29,104.3,41.1,-16.99,28620
1s,net_zero,7027.81,0.29,104.3,41.1,-16.99,28620
1s,net_low,-79028.11,-1.53,-273.29,14.5,0.0,28620
1s,net_medium,-165084.02,-3.35,-327.14,14.1,0.0,28620
1s,net_high,-394044.02,-8.2,-351.36,14.1,0.0,28620
5s,gross,12820.41,0.24,39.54,47.0,-557.42,17599
5s,net_zero,12820.41,0.24,39.54,47.0,-557.42,17599
5s,net_low,-40096.85,-0.28,-40.84,37.4,0.0,17599
5s,net_medium,-93014.1,-0.8,-85.07,36.7,0.0,17599
5s,net_high,-233806.1,-2.17,-117.53,36.6,0.0,17599
10s,gross,11812.55,0.16,19.78,48.4,-2376.71,11827
10s,net_zero,11812.55,0.16,19.78,48.4,-2376.71,11827
10s,net_low,-23749.06,-0.1,-11.03,43.8,-61070.82,11827
10s,net_medium,-59310.66,-0.35,-36.19,43.1,-2015458.15,11827
10s,net_high,-153926.66,-1.04,-68.28,43.0,0.0,11827
30s,gross,1890.25,0.02,1.47,48.0,-430.16,5326
30s,net_zero,1890.25,0.02,1.47,48.0,-430.16,5326
30s,net_low,-14124.07,-0.07,-5.11,46.9,-3118.26,5326
30s,net_medium,-30138.38,-0.16,-11.44,46.4,-6959.03,5326
30s,net_high,-72746.38,-0.4,-25.44,46.3,-17734.28,5326
