horizon,cost_scenario,PnL (bps),Ret/Trade (bps),Sharpe,Hit %,MaxDD %,Trades
1s,gross,311.61,1.08,154.16,65.3,-17.94,395
1s,net_zero,311.61,1.08,154.16,65.3,-17.94,395
1s,net_low,-884.7,-1.02,-123.54,27.4,0.0,395
1s,net_medium,-2081.0,-3.12,-271.48,22.6,0.0,395
1s,net_high,-5241.0,-8.68,-381.18,20.1,0.0,395
5s,gross,811.25,1.12,77.15,60.1,-189.69,258
5s,net_zero,811.25,1.12,77.15,60.1,-189.69,258
5s,net_low,29.85,0.56,38.66,54.5,-361.28,258
5s,net_medium,-751.54,0.01,0.49,50.6,-13564.56,258
5s,net_high,-2815.54,-1.46,-66.02,47.9,0.0,258
10s,gross,1376.66,1.48,71.9,59.9,-189.32,152
10s,net_zero,1376.66,1.48,71.9,59.9,-189.32,152
10s,net_low,916.32,1.22,59.39,58.2,-469.67,152
10s,net_medium,455.98,0.96,46.0,56.4,-80.8,152
10s,net_high,-760.02,0.29,12.04,54.5,-2644.89,152
30s,gross,2904.21,2.62,80.57,58.9,-45.59,67
30s,net_zero,2904.21,2.62,80.57,58.9,-45.59,67
30s,net_low,2701.24,2.52,77.63,58.6,-48.92,67
30s,net_medium,2498.27,2.43,74.48,58.3,-52.56,67
30s,net_high,1962.27,2.19,65.38,57.5,-64.05,67
