,count,mean,std,min,25%,50%,75%,max
spread,604797.0,0.10119114347506947,0.024465323912702713,0.09999999999126885,0.09999999999126885,0.10000000000582077,0.10000000000582077,1.0
relative_spread,604797.0,1.3318845596821445e-06,3.4417508545275824e-07,1.1064094855342024e-06,1.1691209437058777e-06,1.2954030679784881e-06,1.4587902690785444e-06,1.5360865123923778e-05
obi_1,604797.0,0.0049720390779944435,0.6203254877235395,-0.9999600439516533,-0.5477595426885487,0.007446166230629889,0.5571784823655147,0.9999599134129721
obi_5,604797.0,0.00785141370201521,0.6164524076740857,-0.9997786435275366,-0.5413374717832958,0.012950030510543198,0.5564853556485356,0.9998505745408904
weighted_obi,604797.0,0.0062705356460098245,0.618423511152252,-0.9998541609116113,-0.5448222565687789,0.009946735876101561,0.5564226657937074,0.9998649694875397
microprice_deviation,604797.0,3.868923501742756e-09,4.4438576341707633e-07,-7.528950346566436e-06,-3.5650057771454595e-07,4.814347212554267e-09,3.6272549333341247e-07,7.5313028056756935e-06
trade_imbalance_1s,604797.0,0.008928738172247798,0.7805529529641972,-1.0,-0.8450704225352113,0.0,0.8614718614718615,1.0
total_volume_1s,604797.0,2.101418125420596,10.487586147241723,0.0,0.053000000000000005,0.312,1.36,1637.953
return_lag_1s,604790.0,-1.3604537448899154e-07,8.230872058454617e-05,-0.004715345728852869,0.0,0.0,0.0,0.010801114958098441
realized_vol_10s,604783.0,5.2825724390644836e-05,6.192515683509763e-05,0.0,1.3453645968507778e-05,3.90314714746661e-05,7.26541817965482e-05,0.003972278100804239
y_return_1s,604790.0,-1.360453744889915e-07,8.230872058454617e-05,-0.004715345728852869,0.0,0.0,0.0,0.010801114958098441
y_return_5s,604762.0,-6.782612302389704e-07,0.000197939617070709,-0.005573286270367705,-5.3247410909873626e-05,0.0,5.497749281422915e-05,0.010801114958098441
y_return_10s,604727.0,-1.3562398836743496e-06,0.00028497511787078814,-0.0056482207878526995,-9.875414254070713e-05,0.0,9.790478654536142e-05,0.011342227951658406
y_return_30s,604587.0,-4.085479445218679e-06,0.0004983522052716134,-0.006501549370280132,-0.00020244737865896944,0.0,0.00019721440386461945,0.013021465162076013
