,count,mean,std,min,25%,50%,75%,max
spread,604796.0,0.010113095986093177,0.0023650383544373747,0.009999999999763531,0.009999999999763531,0.009999999999990905,0.010000000000218279,0.1000000000003638
relative_spread,604796.0,4.369848302123056e-06,1.1824518818055418e-06,3.3238548072957053e-06,3.6075231286473528e-06,4.37760330606157e-06,4.974252027958927e-06,5.198748141442811e-05
obi_1,604796.0,0.009928600453339285,0.6263161489545518,-0.999995972102784,-0.5417876693530608,0.010992721047601796,0.5666730556639081,0.9999923595445527
obi_5,604796.0,0.01124047145929388,0.6193431672578438,-0.9999535821074499,-0.5354044427714022,0.012789321814812595,0.5619268792858504,0.999906939013448
weighted_obi,604796.0,0.010391874132863656,0.6225652765518345,-0.9999622125494805,-0.5382456796394752,0.010954414447475722,0.5634610047922484,0.999953654132266
microprice_deviation,604796.0,2.4418539528205035e-08,1.4513419057113629e-06,-2.4799175764568438e-05,-1.1422078243914866e-06,2.3229995682359987e-08,1.2009759140733117e-06,2.5983602545129837e-05
trade_imbalance_1s,604796.0,0.015842193716040637,0.7714768028646833,-1.0,-0.8160250427613864,0.0,0.8468179033295454,1.0
total_volume_1s,604796.0,57.386558112156834,250.61503617896037,0.0,1.62975,9.112,37.286,37374.062
return_lag_1s,604789.0,-1.871526497775655e-07,0.00012127034610182634,-0.005204778918546791,0.0,0.0,0.0,0.01311311071434714
realized_vol_10s,604782.0,7.798274988735446e-05,9.183889466854193e-05,0.0,2.32623921378376e-05,5.5581912428688996e-05,0.00010191809472334913,0.004698987558599901
y_return_1s,604789.0,-1.8715264977756558e-07,0.00012127034610182633,-0.005204778918546791,0.0,0.0,0.0,0.01311311071434714
y_return_5s,604761.0,-9.349851577369356e-07,0.0002834403296577508,-0.007678862112386535,-7.993329207698949e-05,0.0,8.027762683575461e-05,0.01387644816436028
y_return_10s,604726.0,-1.8729455364054625e-06,0.0004053477971228192,-0.010663309735856188,-0.000134703543776145,0.0,0.0001309549894463853,0.01517846437861644
y_return_30s,604586.0,-5.673032960856657e-06,0.0007097345604155901,-0.012125858947179132,-0.00026175272816648075,0.0,0.0002543736711013272,0.018280796558495963
