model,horizon,target,feature_set,mean_pearson_ic,std_pearson_ic,mean_spearman_ic,std_spearman_ic,mean_mse,std_mse,mean_mae,std_mae,mean_decile_spread,std_decile_spread,ic_tstat,ic_ir,n_folds,total_test_rows
linear,1s,y_return_1s,all,0.25759642354995405,0.018313604706037045,0.38144508431562835,0.023927710402769718,3.7160021473665417e-09,2.8361448862772217e-09,3.096806734856019e-05,8.461649628037323e-06,5.852912945523475e-05,1.4597378994461168e-05,31.452197591042612,14.065850371065281,5,120923
ridge,1s,y_return_1s,all,0.25759651789517457,0.018313689563649403,0.38144594314795316,0.02392783792185585,3.716002251484444e-09,2.8361450365284104e-09,3.096811516493499e-05,8.461658098206642e-06,5.852912945523475e-05,1.4597378994461168e-05,31.45206337472012,14.065790347701125,5,120923
lasso,1s,y_return_1s,all,-4.798028615460637e-18,7.740098659836685e-18,,,3.920297904798866e-09,3.007888179208336e-09,2.263835312536888e-05,1.035079800711901e-05,,,-1.2397848726031289,-0.6198924363015644,5,120923
linear,5s,y_return_5s,all,0.20345369643657718,0.0681334106919837,0.3133874850115867,0.049538271374424354,2.3918521435034613e-08,1.9456992615410224e-08,8.816845102354826e-05,2.6446177837175318e-05,0.00010791601042559229,9.448079955395803e-06,6.677139613081476,2.986107614021365,5,120915
ridge,5s,y_return_5s,all,0.20345473246877166,0.06813314172574036,0.3133879456706866,0.04953871633861364,2.391850744339004e-08,1.9456980396123554e-08,8.816844651050914e-05,2.644620549955272e-05,0.00010791601042559229,9.448079955395803e-06,6.677199973773313,2.9861346081433884,5,120915
lasso,5s,y_return_5s,all,-6.489161448675569e-18,3.755636125393324e-18,,,2.43449597812962e-08,1.8733486911570488e-08,8.47239616840516e-05,2.805517476271601e-05,,,-3.863581463097665,-1.7278461576188948,5,120915
linear,10s,y_return_10s,all,0.1568095267772117,0.07384869655289426,0.22881099400293015,0.055975909970355786,5.051842094163253e-08,3.831347455358192e-08,0.0001376421259729927,3.9083928463625974e-05,0.00011738108967863777,1.7045345780642102e-05,4.748042656951632,2.1233892282025124,5,120905
ridge,10s,y_return_10s,all,0.15681027204174228,0.07384895928142449,0.2288113692121257,0.055976511052226494,5.0518402476653675e-08,3.8313473432322713e-08,0.0001376420541639437,3.9083965285480296e-05,0.00011741291009701284,1.7060200901122845e-05,4.748048330909492,2.1233917656736074,5,120905
lasso,10s,y_return_10s,all,2.7279832524863025e-18,1.9983364318728904e-17,,,5.104972554152646e-08,3.7114040644846524e-08,0.000137114721847023,3.9445717092248265e-05,,,0.2730254234447969,0.13651271172239846,5,120905
linear,30s,y_return_30s,all,0.06243162542788353,0.07080321961190385,0.10009725337277797,0.05225672992530967,1.4886185212542794e-07,8.97046587900224e-08,0.00026165500010116074,6.339613855500329e-05,8.510834465152948e-05,6.426934407284726e-05,1.9716809372194337,0.8817625211126298,5,120865
ridge,30s,y_return_30s,all,0.06243150798568632,0.07080208707704297,0.10009881164731442,0.052256528318951806,1.4886177121599297e-07,8.97045193254017e-08,0.00026165487813778883,6.339604930334216e-05,8.510039497742225e-05,6.430963859622772e-05,1.97170876674736,0.8817749668558748,5,120865
lasso,30s,y_return_30s,all,8.346133788587437e-18,1.9928051630739014e-17,,,1.4741411166030287e-07,8.64423487823092e-08,0.000260658607332483,6.237843968822336e-05,,,0.9364950897559113,0.41881333625779693,5,120865
