model,horizon,target,feature_set,mean_pearson_ic,std_pearson_ic,mean_spearman_ic,std_spearman_ic,mean_mse,std_mse,mean_mae,std_mae,mean_decile_spread,std_decile_spread,ic_tstat,ic_ir,n_folds,total_test_rows
linear,1s,y_return_1s,all,0.3058514972025881,0.1412743547069347,0.40634285079721116,0.09809543541402262,6.23804662205815e-08,7.51364633351612e-08,0.00013047573190775493,3.491371413438207e-05,0.00021132078436327372,4.594965334860323e-05,4.840968767359042,2.1649470481536364,5,1434
ridge,1s,y_return_1s,all,0.3192645804925358,0.09323899070721563,0.3924609036134122,0.10374473385086339,3.3163390793317674e-08,1.6460767607934174e-08,0.00012120975182029672,2.8915508770354297e-05,0.0002157543731050358,6.5069850396413e-05,7.656639131058461,3.424153115246328,5,1434
lasso,1s,y_return_1s,all,-1.7641805832336163e-18,2.4949281072842568e-18,,,3.422886289556671e-08,1.4017546199205433e-08,0.00011548727093024635,2.5238557254144618e-05,,,,,5,1434
linear,5s,y_return_5s,all,0.26680958128619636,0.11966874578207104,0.3321986344529926,0.0785738195194069,2.195463414016319e-07,1.3684063848428678e-07,0.00033156786163218466,8.898275051901464e-05,0.00038999757649879353,7.587845309490098e-05,4.985465143009589,2.22956779184503,5,1430
ridge,5s,y_return_5s,all,0.26526555230412835,0.11953000123220717,0.33192859054652163,0.08242097954850756,1.9751713226241863e-07,1.0835116964185931e-07,0.00031997675975665773,8.241534461491462e-05,0.0003665602958018143,8.78405733073782e-05,4.962367614208919,2.2192382629429184,5,1430
lasso,5s,y_return_5s,all,4.246042228944155e-18,3.698830316322667e-17,,,1.860749136592016e-07,7.868718679445403e-08,0.00031772673119750765,7.107202307943737e-05,,,,,5,1430
linear,10s,y_return_10s,all,0.23694006442680027,0.11608182350392356,0.2784071304272654,0.06587343024424779,6.386490809993537e-07,6.05810728954997e-07,0.0005372374591377265,0.0001611373733752683,0.000506479627489557,0.0002753880342754048,4.5641434176264255,2.0411469881741797,5,1425
ridge,10s,y_return_10s,all,0.25563226960370444,0.09165495779589183,0.28673051768151575,0.05495292089890102,4.2185505442095637e-07,2.2607727833817168e-07,0.0004990017045387027,0.00013212498315402394,0.00048289240628572654,0.00023888059536254807,6.2365544191222915,2.789071925306832,5,1425
lasso,10s,y_return_10s,all,-8.2685088426551e-19,2.5252210781404247e-17,,,3.8131647528286e-07,1.6318108440144983e-07,0.0004716303580696987,0.00011219217188535817,,,-0.06548740555218269,-0.032743702776091343,5,1425
linear,30s,y_return_30s,all,0.19222447116884483,0.17500675428018314,0.25123631707110544,0.15963516708563458,2.3260413472408682e-06,1.876203544212397e-06,0.0011359855613720482,0.0004102661837186138,0.0009259575474912767,0.0006247205322319905,2.4560594031950282,1.0983831564643294,5,1405
ridge,30s,y_return_30s,all,0.2128370036668945,0.15503399036594415,0.24338151646360678,0.10954860620748517,1.500057327592961e-06,8.522054708438476e-07,0.0009584588959169662,0.00030743525651253983,0.0008214493455360964,0.0004922440390623576,3.0697655862639244,1.3728409051751258,5,1405
lasso,30s,y_return_30s,all,1.1348937272547341e-17,5.594386699857476e-17,,,1.0016371466318914e-06,4.034061057252412e-07,0.0007868690839762521,0.00018119432205407883,,,0.4536153214872226,0.20286293889617016,5,1405
